09:00 - 09:30,,開場,開場,開場,開場
09:30 - 10:00,オープニング,,,,
10:00 - 10:50,`基調講演:Georg Brandl <../speakers/keynote.html>`_ |video0|,,,,
10:50 - 11:10,,休憩,休憩,休憩,休憩
11:10 - 12:00,,:ref:`session-14-1110-RoomA0715(Ja1)-ja` |doc0| |video1|,:ref:`session-14-1110-RoomA0765(Ja2)-ja` |doc1| |video2|,:ref:`session-14-1110-RoomA0712(En1)-ja`,:ref:`session-14-1110-RoomA0762(En2)-ja` |video3|
12:00 - 13:00,,昼休み,昼休み,昼休み,昼休み
13:00 - 13:30,,:ref:`session-14-1300-RoomA0715(Ja1)-ja` |video4|,:ref:`session-14-1300-RoomA0765(Ja2)-ja` |doc2| |video5|,:ref:`session-14-1300-RoomA0712(En1)-ja` |doc3| |video6|,:ref:`session-14-1300-RoomA0762(En2)-ja` |video7|
13:30 - 13:40,,休憩,休憩,休憩,休憩
13:40 - 14:10,,:ref:`session-14-1340-RoomA0715(Ja1)-ja` |doc4| |video8|,:ref:`session-14-1340-RoomA0765(Ja2)-ja` |doc5| |video9|,:ref:`session-14-1340-RoomA0712(En1)-ja` |video10|,:ref:`session-14-1340-RoomA0762(En2)-ja` |video11|
14:10 - 14:20,,休憩,休憩,休憩,休憩
14:20 - 14:50,,:ref:`session-14-1420-RoomA0715(Ja1)-ja`,:ref:`session-14-1420-RoomA0765(Ja2)-ja` |video12|,:ref:`session-14-1420-RoomA0712(En1)-ja` |video13|,:ref:`session-14-1420-RoomA0762(En2)-ja` |video14|
14:50 - 15:30,,Tea Break,Tea Break,Tea Break,Tea Break
15:30 - 16:20,,:ref:`session-14-1530-RoomA0715(Ja1)-ja` |video15|,:ref:`session-14-1530-RoomA0765(Ja2)-ja` |doc6| |video16|,:ref:`session-14-1530-RoomA0712(En1)-ja` |video17|,:ref:`session-14-1530-RoomA0762(En2)-ja` |video18|
16:20 - 16:30,,休憩,休憩,休憩,休憩
16:30 - 17:20,,:ref:`session-14-1630-RoomA0715(Ja1)-ja` |video19|,:ref:`session-14-1630-RoomA0765(Ja2)-ja` |doc7| |video20|,:ref:`session-14-1630-RoomA0712(En1)-ja` |video21|,:ref:`session-14-1630-RoomA0762(En2)-ja` |video22|
17:20 - 17:30,,休憩,休憩,休憩,休憩
17:30 - 18:20,,:ref:`session-14-1730-RoomA0715(Ja1)-ja` |doc8|,:ref:`session-14-1730-RoomA0765(Ja2)-ja` |doc9| |video23|,:ref:`session-14-1730-RoomA0712(En1)-ja` |doc10| |video24|,:ref:`session-14-1730-RoomA0762(En2)-ja` |video25|
18:20 - 18:30,,休憩,休憩,休憩,休憩
18:30 - 18:40,,クロージング,クロージング,クロージング,クロージング
