09:00 - 09:30,,Open,Open,Open,Open
09:30 - 10:00,Opening,,,,
10:00 - 10:50,`Keynote: Georg Brandl <../speakers/keynote.html>`_ |video0|,,,,
10:50 - 11:10,,Break,Break,Break,Break
11:10 - 12:00,,:ref:`session-14-1110-RoomA0715(Ja1)-en` |doc0| |video1|,:ref:`session-14-1110-RoomA0765(Ja2)-en` |doc1| |video2|,:ref:`session-14-1110-RoomA0712(En1)-en`,:ref:`session-14-1110-RoomA0762(En2)-en` |video3|
12:00 - 13:00,,Lunch,Lunch,Lunch,Lunch
13:00 - 13:30,,:ref:`session-14-1300-RoomA0715(Ja1)-en` |video4|,:ref:`session-14-1300-RoomA0765(Ja2)-en` |doc2| |video5|,:ref:`session-14-1300-RoomA0712(En1)-en` |doc3| |video6|,:ref:`session-14-1300-RoomA0762(En2)-en` |video7|
13:30 - 13:40,,Break,Break,Break,Break
13:40 - 14:10,,:ref:`session-14-1340-RoomA0715(Ja1)-en` |doc4| |video8|,:ref:`session-14-1340-RoomA0765(Ja2)-en` |doc5| |video9|,:ref:`session-14-1340-RoomA0712(En1)-en` |video10|,:ref:`session-14-1340-RoomA0762(En2)-en` |video11|
14:10 - 14:20,,Break,Break,Break,Break
14:20 - 14:50,,:ref:`session-14-1420-RoomA0715(Ja1)-en`,:ref:`session-14-1420-RoomA0765(Ja2)-en` |video12|,:ref:`session-14-1420-RoomA0712(En1)-en` |video13|,:ref:`session-14-1420-RoomA0762(En2)-en` |video14|
14:50 - 15:30,,Tea Break,Tea Break,Tea Break,Tea Break
15:30 - 16:20,,:ref:`session-14-1530-RoomA0715(Ja1)-en` |video15|,:ref:`session-14-1530-RoomA0765(Ja2)-en` |doc6| |video16|,:ref:`session-14-1530-RoomA0712(En1)-en` |video17|,:ref:`session-14-1530-RoomA0762(En2)-en` |video18|
16:20 - 16:30,,Break,Break,Break,Break
16:30 - 17:20,,:ref:`session-14-1630-RoomA0715(Ja1)-en` |video19|,:ref:`session-14-1630-RoomA0765(Ja2)-en` |doc7| |video20|,:ref:`session-14-1630-RoomA0712(En1)-en` |video21|,:ref:`session-14-1630-RoomA0762(En2)-en` |video22|
17:20 - 17:30,,Break,Break,Break,Break
17:30 - 18:20,,:ref:`session-14-1730-RoomA0715(Ja1)-en` |doc8|,:ref:`session-14-1730-RoomA0765(Ja2)-en` |doc9| |video23|,:ref:`session-14-1730-RoomA0712(En1)-en` |doc10| |video24|,:ref:`session-14-1730-RoomA0762(En2)-en` |video25|
18:20 - 18:30,,Break,Break,Break,Break
18:30 - 18:40,,Closing,Closing,Closing,Closing
