09:30 - 10:00,,Open,Open,Open,Open
10:00 - 10:50,`Keynote: Rian Hunter <../speakers/keynote.html>`_ |video26|,,,,
10:50 - 11:10,,Break,Break,Break,Break
11:10 - 11:50,,:ref:`session-15-1110-RoomA0715(Ja1)-en` |video27|,:ref:`session-15-1110-RoomA0765(Ja2)-en` |doc11|,:ref:`session-15-1110-RoomA0712(En1)-en` |video28|,:ref:`session-15-1110-RoomA0762(En2)-en` |video29|
11:50 - 13:00,,Lunch,Lunch,Lunch,Lunch
13:00 - 13:50,,:ref:`session-15-1300-RoomA0715(Ja1)-en` |doc12| |video30|,:ref:`session-15-1300-RoomA0765(Ja2)-en` |doc13| |video31|,:ref:`session-15-1300-RoomA0712(En1)-en` |video32|,:ref:`session-15-1300-RoomA0762(En2)-en` |video33|
13:50 - 14:00,,Break,Break,Break,Break
14:00 - 14:50,,:ref:`session-15-1400-RoomA0715(Ja1)-en` |video34|,:ref:`session-15-1400-RoomA0765(Ja2)-en` |video35|,:ref:`session-15-1400-RoomA0712(En1)-en` |video36|,:ref:`session-15-1400-RoomA0762(En2)-en` |video37|
14:50 - 15:30,,Tea Break,Tea Break,Tea Break,Tea Break
15:30 - 16:20,,:ref:`session-15-1530-RoomA0715(Ja1)-en` |video38|,:ref:`session-15-1530-RoomA0765(Ja2)-en`,:ref:`session-15-1530-RoomA0712(En1)-en`,:ref:`session-15-1530-RoomA0762(En2)-en` |video39|
16:20 - 16:30,,Break,Break,Break,Break
16:30 - 17:20,,:ref:`session-15-1630-RoomA0715(Ja1)-en` |video40|,:ref:`session-15-1630-RoomA0765(Ja2)-en` |video41|,:ref:`session-15-1630-RoomA0712(En1)-en` |video42|,:ref:`session-15-1630-RoomA0762(En2)-en`
17:20 - 17:40,,Break,Break,Break,Break
17:40 - 18:40,:doc:`../speakers/lightningtalks` |video43|,,,,
18:40 - 19:00,Closing,,,,
